"","comments_2013","comments_2014","comments_2015","comments_2016","comments_2017","comments_2018","comments_2019","comments_2020","comments_2021","topPosts_2013","topPosts_2014","topPosts_2015","topPosts_2016","topPosts_2017","topPosts_2018","topPosts_2019","topPosts_2020","topPosts_2021"
"1","people","people","people","people","people","gt","people","people","people","government","government","us","trump","trump","trump","trump","coronavirus","says"
"2","just","just","just","just","just","people","gt","just","just","people","world","new","us","us","says","us","us","us"
"3","like","gt","gt","gt","gt","just","just","like","like","world","us","saudi","says","donald","president","says","trump","police"
"4","can","like","like","like","like","like","like","gt","gt","police","new","world","donald","says","new","president","says","russia"
"5","gt","can","can","can","trump","trump","can","us","can","us","people","says","saudi","president","us","climate","china","biden"
"6","one","one","one","one","can","one","one","can","us","snowden","says","government","president","russia","u.s","new","world","people"
"7","government","get","us","us","us","can","us","one","one","new","china","isis","new","climate","first","china","covid-19","government"
"8","us","us","get","now","one","us","trump","get","even","china","one","president","first","trump's","russia","people","new","navalny"
"9","get","now","now","edit","now","get","get","trump","amp","year","year","people","climate","north","russian","u.s","people","china"
"10","now","edit","edit","get","edit","now","now","now","now","nsa","first","first","government","u.s","government","kong","police","u.s"
"11","edit","government","even","even","get","edit","time","time","get","says","german","law","korea","news","world","change","minister","uk"
"12","even","even","time","time","even","time","even","china","also","two","military","killed","world","first","said","police","uk","now"
"13","think","think","also","think","also","even","china","even","time","russian","court","police","police","ban","climate","hong","u.s","report"
"14","also","also","think","also","news","said","amp","world","years","just","south","korea","north","new","china","report","chinese","calls"
"15","time","time","really","know","going","know","edit","going","government","first","north","said","ban","change","trump's","world","iran","myanmar"
"16","make","really","government","going","time","also","also","also","much","south","president","public","russia","korea","change","minister","amid","new"
"17","way","know","world","really","know","going","know","amp","make","one","said","military","years","world","north","coronavirus","court","end"
"18","know","world","know","good","make","much","going","think","world","child","law","arabia","oil","million","korea","uk","outbreak","court"
"19","world","make","years","said","amp","think","think","government","think","german","man","india","million","uk","donald","russia","president","covid"
"20","really","still","going","make","think","russia","much","really","country","said","korea","china","u.s","swedish","south","say","war","say"
"21","good","good","make","right","really","amp","government","much","china","law","isis","food","china","two","canada","saudi","australia","canada"
"22","going","going","see","government","said","news","said","know","still","right","police","million","tax","report","people","government","wuhan","democracy"
"23","want","way","much","news","right","make","years","good","said","uk","just","found","trump's","state","just","news","first","covid-19"
"24","still","well","still","world","good","really","really","still","going","million","russian","one","women","putin","time","russian","pandemic","years"
"25","well","years","well","years","see","government","news","go","know","now","nsa","year","pay","police","saudi","million","health","alexei"
"26","right","much","right","much","president","still","make","said","really","pirate","war","man","now","canada","facebook","banned","black","billion"
"27","country","see","good","amp","want","way","way","make","want","water","death","chinese","global","paris","un","amazon","international","saudi"
"28","go","article","many","go","world","years","still","want","way","world's","years","just","said","china","banned","donald","one","leader"
"29","article","right","country","way","say","see","world","right","good","court","public","state","isis","eu","ban","pay","years","chief"
"30","said","news","money","country","russia","good","see","country","see","ukraine","snowden","weapons","arabia","oil","house","war","report","farmers"
"31","years","many","way","trump","go","president","good","years","right","reveals","killed","paris","india","years","report","public","million","million"
"32","much","go","news","still","way","world","well","see","article","hong","ukraine","ban","un","can","police","said","canada","attack"
"33","china","money","go","many","thing","russian","go","edit","many","kong","million","billion","uk","use","kong","times","said","children"
"34","police","country","lot","well","much","go","right","virus","military","say","now","french","state","claims","nuclear","children","attack","putin"
"35","see","want","something","see","well","country","want","well","back","make","world's","time","change","pope","data","years","say","afghanistan"
"36","many","said","want","want","country","well","country","news","go","top","russia","north","just","minister","war","trump's","prime","protesters"
"37","take","something","actually","actually","many","want","actually","way","edit","north","germany","south","pope","said","putin","south","government","week"
"38","news","every","said","money","government","say","say","back","need","years","united","legal","found","fake","hong","vaccine","around","first"
"39","something","need","back","something","money","new","back","help","first","end","two","amp","minister","sweden","country","measles","day","journalist"
"40","need","take","say","new","first","many","new","new","thing","leader","amp","court","top","now","say","protesters","cases","khashoggi"
"41","say","lot","article","first","russian","right","help","war","countries","kim","u.s","health","iran","house","use","mueller","now","taliban"
"42","shit","new","new","thing","still","back","every","lot","news","workers","child","un","one","russian","uk","congress","hospital","capitol"
"43","every","china","need","shit","years","need","many","first","say","un","found","fifa","hours","deal","million","study","russia","world"
"44","work","back","thing","say","new","china","shit","say","well","must","health","france","international","one","mueller","canada","workers","rights"
"45","lot","police","every","back","actually","actually","need","better","got","think","saudi","uk","time","just","now","just","general","india"
"46","new","say","shit","lot","work","never","got","many","police","edward","uk","years","public","women","two","made","soleimani","russian"
"47","money","actually","take","take","lot","first","work","article","every","amp","oil","death","people","court","revealed","ordered","amazon","scottish"
"48","use","work","first","need","made","something","thing","actually","new","twitter","company","now","report","states","can","can","donald","last"
"49","made","shit","amp","never","never","work","president","work","trump","drug","time","biggest","court","security","kim","bill","virus","two"
"50","things","first","never","things","got","help","take","shit","actually","report","chinese","countries","including","national","air","bbc","killing","chinese"
